"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Cooperative control with haptic visualization in shared virtual environments","I. Goncharenko; M. Svinin; S. Matsumoto; Y. Masui; Y. Kanou; S. Hosoe","3D, Inc., Yokohama, Kanagawa, Japan; Bio-Mimetic Control Research Center, Nagoya, Japan; 3D, Inc., Yokohama, Kanagawa, Japan; Department of Electronic-Mechanical Engineering, Faculty of Engineering, University of Nagoya, Japan; 3D, Inc., Yokohama, Kanagawa, Japan; Bio-Mimetic Control Research Center, Nagoya, Japan","Proceedings. Eighth International Conference on Information Visualisation, 2004. IV 2004.","9 Aug 2004","2004","","","533","538","A distributed PHANToM-based system for collaborative haptic visualization of a VR crank is presented. Physical IDOF crank model providing realistic kinaesthetic sensations of inertia and viscosity is described. Theoretical and experimental kinematic trajectory patterns are compared for the case of cooperative two-arm human movements. Nonvisual visualization applications of the system are discussed.","1093-9547","0-7695-2177-0","10.1109/IV.2004.1320196","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1320196","","Haptic interfaces;Visualization;Virtual reality;Communication system control;Collaboration;Viscosity;Humans;Computer displays;Virtual environment;Imaging phantoms","","12","","13","IEEE","9 Aug 2004","","","IEEE","IEEE Conferences"
"A Study of Communication Modalities in a Virtual Collaborative Task","J. Wang; A. Chellali; C. G. L. Cao","Department of Biomedical, Industrial, & Human Factors Engineering, Wright State University, Dayton, OH, USA; Department of Surgery, Cambridge Health Alliance, Cambridge, MA, USA; Department of Biomedical, Industrial, & Human Factors Engineering, Wright State University, Dayton, OH, USA","2013 IEEE International Conference on Systems, Man, and Cybernetics","27 Jan 2014","2013","","","542","546","This paper examined the relative effectiveness of three communication modalities in a collaborative virtual environment. Communication modalities of verbal only (V), haptic only (H), and both (HV), were used in a 2D pointing task. A total of 36 participants were paired into 18 dyads. In each dyad, there was a supervisor and an acting agent. The supervisor used one of the three modalities to guide the acting agent to reach the target location. The time to task completion and the trajectory were recorded and analyzed. The results indicate that subjects using verbal only and haptic+verbal communication performed equally well in the collaborative pointing task. Subjects using haptic only communication spent more time and had longer path lengths than verbal only and haptic+verbal communication. Nevertheless, all three modalities were effective in communicating in a virtual collaborative task.","1062-922X","978-1-4799-0652-9","10.1109/SMC.2013.98","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6721851","haptic communication;communication modality;collaborative virtual environment;pointing task;human computer interaction","Haptic interfaces;Collaboration;Virtual environments;Monitoring;Mice;Human factors;Trajectory","","6","","10","IEEE","27 Jan 2014","","","IEEE","IEEE Conferences"
"fARFEEL: Providing Haptic Sensation of Touched Objects Using Visuo-Haptic Feedback","N. Tanabe; Y. Sato; K. Morita; M. Inagaki; Y. Fujino; P. Punpongsanon; H. Matsukura; D. Iwai; K. Sato","Graduate School of Engineering Science, Osaka University; Graduate School of Engineering Science, Osaka University; Graduate School of Engineering Science, Osaka University; Graduate School of Engineering Science, Osaka University; Graduate School of Engineering Science, Osaka University; Graduate School of Engineering Science, Osaka University; Graduate School of Engineering Science, Osaka University; Graduate School of Engineering Science, Osaka University; Graduate School of Engineering Science, Osaka University",2019 IEEE Conference on Virtual Reality and 3D User Interfaces (VR),"15 Aug 2019","2019","","","1355","1356","We present fARFEEL, a remote communication system that provides visuo-haptic feedback allows a local user to feel touching distant objects. The system allows the local and remote users to communicate by using the projected virtual hand (VH) for the agency of his/her own hands. The necessary haptic information is provided to the non-manipulating hand of the local user that does not bother the manipulation of the projected VH. We also introduce the possible visual stimulus that could potentially provide the sense of the body ownership over the projected VH.","2642-5254","978-1-7281-1377-7","10.1109/VR.2019.8798195","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8798195","Virtual hand illusion;Spatial augmented reality;Visuo-haptic;Haptic feedback;Extended body interface","Haptic interfaces;Cameras;Visualization;Three-dimensional displays;Shape;Conferences;Strain","","8","","5","IEEE","15 Aug 2019","","","IEEE","IEEE Conferences"
"Design and assessment of haptic interfaces: An essay on proactive haptic articulation","V. A. de Jesus Oliveira","Universidade Federal do Rio Grande do Sul, Porto Alegre, RS, BR",2017 IEEE Virtual Reality (VR),"6 Apr 2017","2017","","","409","410","We looked up to elements present in speech articulation to introduce the proactive haptic articulation as a novel approach for intercommunication. The ability to use a haptic interface as a tool for implicit communication can supplement communication and support near and remote collaborative tasks in virtual and physical environments. In addition, the proactive articulation can be applied during the design process, including the user in the construction of more dynamic and optimized vibrotactile vocabularies. In this proposal, we discuss the thesis of the haptic proactive communication and our method to assess and implement it. Our goal is to understand the phenomena related to the proactive articulation of haptic signals and its use for communication and for the design of optimized tactile vocabularies.","2375-5334","978-1-5090-6647-6","10.1109/VR.2017.7892350","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7892350","H.5.1 [Human computer interaction (HCI)]: Interaction devices — Haptic devices","Haptic interfaces;Vocabulary;Context;Collaboration;Three-dimensional displays;Speech;Proposals","","","","13","IEEE","6 Apr 2017","","","IEEE","IEEE Conferences"
"Multiple-contact representation for the real-time volume haptic rendering of a non-rigid object","Sang-Youn Kim; Jinah Park; Dong-Soo Kwon","Telerobotics & Control Laboratory, Department of Mechanical Engineering, Korea Advanced Institute of Science and Technology, South Korea; Computer Graphics & Visualization Laboratory, School of Engineering, ICU, South Korea; Telerobotics & Control Laboratory, Department of Mechanical Engineering, Korea Advanced Institute of Science and Technology, South Korea","12th International Symposium on Haptic Interfaces for Virtual Environment and Teleoperator Systems, 2004. HAPTICS '04. Proceedings.","19 Apr 2004","2004","","","242","249","This paper presents a fast haptic rendering method providing the sense of touch from a virtual volumetric non-rigid object when a human operator interacts with the object at multiple points. Previously, we have proposed a fast volume haptic rendering method based on the shape-retaining chain linked model (or the S-chain model) that can handle the deformation of a volumetric non-rigid object and its haptic feedback in real time. One of the key differences between the S-chain model and a traditional FEM or mass-spring model is that the computation of the deformation and its reflected force is performed at a local level. When there are more than one interaction points with the object, it is necessary to consider a modeling framework that can handle human operator's all inputs together. In this paper, we propose a modeling framework in which forces generated at interaction points are vectorially summed to deal with the multiple contact points. Our experiments demonstrate that our proposed method is suitable for the real-time volume haptic rendering of a volumetric non-rigid object with multiple-contact points.","","0-7695-2112-6","10.1109/HAPTIC.2004.1287202","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1287202","","Haptic interfaces;Humans;Rendering (computer graphics);Computational modeling;Deformable models;Minimally invasive surgery;Laboratories;Feedback;Telerobotics;Mechanical engineering","","","","15","IEEE","19 Apr 2004","","","IEEE","IEEE Conferences"
"A distributed latency-aware architecture for massively multi-user virtual environments","B. Hariri; S. Ratti; S. Shirmohammadi; M. R. Pakravan","Distributed Collaborative Virtual Environment Research Laboratory, University of Ottawa, Ottawa, Canada; Distributed Collaborative Virtual Environment Research Laboratory, University of Ottawa, Ottawa, Canada; Distributed Collaborative Virtual Environment Research Laboratory, University of Ottawa, Ottawa, Canada; Department of Electrical Engineering, Sharif University of Technology, Tehran, Iran",2008 IEEE International Workshop on Haptic Audio visual Environments and Games,"21 Nov 2008","2008","","","53","58","Massively multi-user virtual environments (MMVE) incorporate computer graphics, sound and haptics to simulate the experience of real-time interaction among multiple users in a shared three-dimensional virtual world. Such applications therefore deal with the distribution of updates among their users to provide them with a common sense of time and place while interacting in the virtual environment. This paper introduces a new distributed architecture for message exchange in MMVE applications. We propose the use of Hilbert space filling curve, due to its good locality preserving characteristics, as a mechanism for indexing users' three dimensional locations to a one dimension. We also propose our novel routing strategy based on this architecture, which is executed among the points that are mapped over the Hilbert curve. Such hierarchical routing requires only few entries in the routing tables while it is guaranteed to converge in few steps. The routing procedure is based on guiding the packets to their destinations through traversing the Hilbert curve in tree format. A three dimensional Hilbert curve of order K can be described with a tree of K levels. In making a forwarding decision, a node finds the best neighbour that moves the message closer to its destination over this tree. This avoids the complexity of locating the points over the Hilbert curve as the mapping is actually performed throughout the routing process. The performance evaluation results show that the propose architecture can efficiently handle update exchange among MMVE users.","","978-1-4244-2668-3","10.1109/HAVE.2008.4685298","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4685298","Massively multi-user Virtual environment;Hilbert curve;Multi-dimensional indexing;Latency-aware routing","Virtual environment;Routing;Computer architecture;Computer graphics;Haptic interfaces;Computational modeling;Computer simulation;Application software;Hilbert space;Filling","","1","","9","IEEE","21 Nov 2008","","","IEEE","IEEE Conferences"
"Performance and co-presence in heterogeneous haptic collaboration","M. McLaughlin; G. Sukhatme; Wei Peng; Weirong Zhu; J. Parks","Integrated Media Systems Center, University of Southern California, USA; Integrated Media Systems Center, University of Southern California, USA; Integrated Media Systems Center, University of Southern California, USA; Integrated Media Systems Center, University of Southern California, USA; Integrated Media Systems Center, University of Southern California, USA","11th Symposium on Haptic Interfaces for Virtual Environment and Teleoperator Systems, 2003. HAPTICS 2003. Proceedings.","2 Apr 2003","2003","","","285","291","Based on a distributed architecture for real-time collection and broadcast of haptic information to multiple participants, heterogeneous haptic devices (the PHANToM and the CyberGrasp) were used in an experiment to test the performance accuracy and sense of presence of participants engaged in a task involving mutual touch. In the experiment, the hands of CyberGrasp users were modeled for the computer to which the PHANToM was connected PHANToM users were requested to touch the virtual hands of CyberGrasp users to transmit randomly ordered letters of the alphabet using a pre-set coding system. Performance accuracy achieved by a small sample of participants was less than optimal in the strict sense: accurate detection of intended location and frequency of touch combined ranged from .27 to .42. However, participants accurately defected the intended location of touch in 92% of the cases. Accuracy may be positively related to pairwise sense of co-presence and negatively related to mean force, force variability, and task completion time.","","0-7695-1890-7","10.1109/HAPTIC.2003.1191297","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1191297","","Haptic interfaces;Collaboration;Imaging phantoms;Fingers;Collaborative work;Wrist;Image segmentation;Delay;Jacobian matrices;Nonhomogeneous media","","11","","15","IEEE","2 Apr 2003","","","IEEE","IEEE Conferences"
"A 3D Annotation Interface Using the DIVINE Visual Display","K. Osman; F. Malric; S. Shirmohammadi","Distributed Collaborative Virtual Environment Research Laboratory (DISCOVER Lab), School of Information Technology and Engineering, University of Ottawa, Ottawa, Canada; Distributed Collaborative Virtual Environment Research Laboratory (DISCOVER Lab), School of Information Technology and Engineering, University of Ottawa, Ottawa, Canada; Distributed Collaborative Virtual Environment Research Laboratory (DISCOVER Lab), School of Information Technology and Engineering, University of Ottawa, Ottawa, Canada",2006 IEEE International Workshop on Haptic Audio Visual Environments and their Applications (HAVE 2006),"15 Jan 2007","2006","","","5","9","While systems such as CAVEs have been experimented with and used for a number of years, their deployment has been slow mainly due to their expense and space requirements. As such, researchers have been moving towards smaller and cheaper immersive systems. In this paper, we introduce an immersive interface for manipulating 3D objects using the DIVINE system","","1-4244-0760-5","10.1109/HAVE.2006.283798","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4062539","","Three dimensional displays;Computer displays;Space technology;Computer graphics;Rendering (computer graphics);Application software;Virtual environment;Humans;Computer interfaces;Hardware","","2","","10","IEEE","15 Jan 2007","","","IEEE","IEEE Conferences"
"An immersive collaborative virtual environment of a university campus for performing virtual campus evacuation drills and tours for campus safety","S. Sharma; S. P. Rajeev; P. Devearux","Department of Computer Science, Bowie State University, Bowie, MD, USA; Department of Computer Science, Bowie State University, Bowie, MD, USA; Department of Computer Science, Bowie State University, Bowie, MD, USA",2015 International Conference on Collaboration Technologies and Systems (CTS),"20 Aug 2015","2015","","","84","89","The use of a collaborative virtual reality environment for training and virtual tours has been increasingly recognized an as alternative to traditional reallife tours for university campuses. Our proposed application shows an immersive collaborative virtual reality environment for performing virtual online campus tours and evacuation drills using Oculus Rift head mounted displays. The immersive collaborative virtual reality environment also offers a unique way for training in emergencies for campus safety. The participant can enter the collaborative virtual reality environment setup on the cloud and participate in the evacuation drill or a tour which leads to considerable cost advantages over large scale real life exercises. This paper presents an experimental design approach to gather data on human behavior and emergency response in a university campus environment among a set of players in an immersive virtual reality environment. We present three ways for controlling crowd behavior: by defining rules for computer simulated agents, by providing controls to the users to navigate in the VR environment as autonomous agents, and by providing controls to the users with a keyboard/ joystick along with an immersive VR head set in real time. Our contribution lies in our approach to combine these three methods of behavior in order to perform virtual evacuation drills and virtual tours in a multi-user virtual reality environment for a university campus. Results from this study can be used to measure the effectiveness of current safety, security, and evacuation procedure for campus safety.","","978-1-4673-7648-8","10.1109/CTS.2015.7210404","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7210404","virtual reality;behavior simulation;evacuation;collaborative virtual environment","Solid modeling;Computational modeling;Virtual reality;Computers;Three-dimensional displays;Buildings;Servers","","13","","24","IEEE","20 Aug 2015","","","IEEE","IEEE Conferences"
"Experimental Internet Haptic Collaboration using Virtual Coupling Schemes","G. Sankaranarayanan; B. Hannaford","Department of Electrical Engineering, University of Washington, Seattle, WA, USA; Department of Electrical Engineering, University of Washington, Seattle, WA, USA",2008 Symposium on Haptic Interfaces for Virtual Environment and Teleoperator Systems,"31 Mar 2008","2008","","","259","266","In this paper we present the results from several global-scale haptic collaboration experiments that were performed using the Internet. These experiments consist of three virtual coupling schemes proposed to maintain position coherency in a networked haptic virtual environment (NHVE). We compared two of our virtual coupling schemes—which represent a peer-to-peer architecture—to the third—with a client-server architecture. We set up a packet reflector network at our collaborator servers (Italy, Canada and North Carolina, USA) to perform the experiments with subjects located within the same laboratory. Our largest one-way latency was in the order of 200 ms for the packet reflector situated in Italy. The virtual coupling parameters were chosen so that it resulted in stable operation for all the delay values that were tested. User datagram protocol (UDP) was used for haptic data communication because of the high transmission rate requirement for NHVEs. There were three experiments carried out in total: two of them at the packet transmission rate of 1000 Hz with a change in the virtual coupling parameters in scheme 2, and the third one, which tested the three virtual coupling schemes at two fixed transmission rates of 500 Hz and 100 Hz. Locally, the haptic update rate was maintained at 1000 Hz during all the experiments. Our results demonstrate that the peer-to-peer virtual coupling schemes can be used for maintaining position coherency in a NHVE. We also show that the position error and the force rendered to the users increase with the reduction in the packet transmission rate. Given that these experiments were performed through the actual Internet, this work proves valuable for global-scale stable haptic collaboration using the Internet.","2324-7355","978-1-4244-2005-6","10.1109/HAPTICS.2008.4479954","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4479954","Haptic Virtual Environments;Collaborative Haptic Virtual Environments;Networked Haptic Virtual Environments;Collaborative Haptics;Multi-user Haptics;Networked Applications;Multi-rate Haptics;Human Factors;H.5.2 [Information Interfaces and Presentation]: User Interfaces-Haptic I/O;I.3.2 [Computer Graphics]: Graphics Systems-Distributed/network graphics","Internet;Haptic interfaces;Collaboration;Couplings;Peer to peer computing;Delay;Testing;Virtual environment;Network servers;Laboratories","","27","","23","IEEE","31 Mar 2008","","","IEEE","IEEE Conferences"
"A Survey on Haptics: Communication, Sensing and Feedback","M. Emami; A. Bayat; R. Tafazolli; A. Quddus","Institute for Communication Systems, Home of 5G & 6G Innovation Centres, University of Surrey, Guildford, U.K.; Institute for Communication Systems, Home of 5G & 6G Innovation Centres, University of Surrey, Guildford, U.K.; Institute for Communication Systems, Home of 5G & 6G Innovation Centres, University of Surrey, Guildford, U.K.; Institute for Communication Systems, Home of 5G & 6G Innovation Centres, University of Surrey, Guildford, U.K.",IEEE Communications Surveys & Tutorials,"12 Jun 2025","2025","27","3","2006","2050","Haptic communications represent a vast area of research focused on integrating the sense of touch into digital sensory experiences. Achieving effective haptic communication requires meticulous design and implementation of all subsystems. As implied by the term, the two primary subsystems are haptic and communication. Haptic refers to replicating the touch sensation in various applications such as augmented reality, virtual reality and teleoperation, and communication involves optimising network structures to transmit and receive haptic information alongside other sensory data. In this survey paper, we discuss both haptic interfaces and network requirements simultaneously. For haptic interfaces, we comprehensively explore the mechanisms of touch perception, haptic sensing, and haptic feedback. We delve into haptic sensing by examining state-of-the-art sensors and approaches to capture data related to touch, such as pressure, force, and motion, and translate these physical interactions into digital data that a haptic system can interpret and respond to. Subsequently, we discuss various methods of achieving haptic feedback, including different mechanical actuators and electrical stimulation. We also investigate the incorporation of artificial intelligence in this field, proposing new areas where it could enhance system performance. Additionally, we address open challenges and future research directions, covering critical issues related to privacy, data transmission, cybersickness, performance and wearability of haptic interface, integrated systems, power supply and evaluation of these devices. Through this interdisciplinary approach, which merges haptic feedback, haptic sensing, and communication, our paper aims to inspire further research and development, ultimately advancing technology and enhancing haptic experiences.","1553-877X","","10.1109/COMST.2024.3444051","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10637258","Haptic communications;haptic interfaces;haptic feedback;haptic sensing;artificial intelligence;human-computer interaction;tactile displays;virtual reality;teleoperation;tactile Internet;Internet of senses","Haptic interfaces;Surveys;Sensors;Wearable devices;Visualization;Reviews;Temperature sensors","","25","","282","CCBY","14 Aug 2024","","","IEEE","IEEE Journals"
"Leveraging motion estimation for data reduction in 3D tele-immersive systems","C. W. Leong; B. Hariri; S. Shirmohammadi; N. D. Georganas","Distributed Collaborative Virtual Environment Research Laboratory, University of Ottawa, Ottawa, Canada; Distributed Collaborative Virtual Environment Research Laboratory, University of Ottawa, Ottawa, Canada; Distributed Collaborative Virtual Environment Research Laboratory, University of Ottawa, Ottawa, Canada; Distributed Collaborative Virtual Environment Research Laboratory, University of Ottawa, Ottawa, Canada",2010 IEEE International Symposium on Haptic Audio Visual Environments and Games,"9 Nov 2010","2010","","","1","6","A 3D tele-immersive system makes use of various technologies including imaging, multimedia, networking and telecommunication. This article discusses the design issues that should be considered in the networking parts of such systems and provides effective solutions to reduce the required communication bandwidth of an interactive session. The proposed technique is based on the use of motion estimation in order to reduce the redundancy of the transmitted data thus saving communication bandwidth.","","978-1-4244-6509-5","10.1109/HAVE.2010.5623966","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5623966","Virtual Reality;Teh-immersive systems;Teh-presence","Motion estimation;Cameras;Shape;Three dimensional displays;Kalman filters;Measurement uncertainty;Bandwidth","","","","22","IEEE","9 Nov 2010","","","IEEE","IEEE Conferences"
"Augmentation of check in/out model for remote collaboration with Mixed Reality","G. Kamei; T. Matsuyama; K. -i. Okada","Keio University, Japan; Keio University, Japan; Japan Science and Technology Agency, Keio University, Japan",2010 IEEE International Symposium on Mixed and Augmented Reality,"22 Nov 2010","2010","","","243","244","This paper proposes augmentation of check in/out model for remote collaboration with Mixed Reality (MR). We add a 3D shared and private space into the real workspace by MR technology, and augment the check in/out model to remote collaboration. By our proposal, user can intuitively receive remote partner's work via virtual objects in the shared space and stop sharing information about an object by just moving the object into the private space if the user doesn't want to share it. We implement a system which achieves our proposal and evaluate it.","","978-1-4244-9346-3","10.1109/ISMAR.2010.5643588","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5643588","Remote Collaboration;Mixed Reality;Check In/Out Model","Collaboration;Three dimensional displays;Space technology;Solid modeling;Virtual reality;Aerospace electronics;Brushes","","1","","5","IEEE","22 Nov 2010","","","IEEE","IEEE Conferences"
